"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"Q3",2019,29990,"Semi-Auto",10400,"Petrol",145,31.7,2
"A3",2017,16490,"Semi-Auto",13755,"Petrol",145,57.6,1.4
"Grandland X",2019,20395,"Automatic",4486,"Petrol",145,42.8,1.2
"Aygo",2018,8999,"Manual",5597,"Petrol",145,56.5,1
"Karoq",2018,18990,"Manual",20032,"Diesel",150,56.5,2
"Rapid",2018,10895,"Manual",15258,"Petrol",145,61.4,1
"Fabia",2017,9400,"Manual",24882,"Diesel",145,70.6,1.4
"Corsa",2016,7080,"Manual",24982,"Petrol",30,55.4,1.4
"Auris",2017,14490,"Automatic",24329,"Hybrid",135,72.4,1.8
"Aygo",2007,2295,"Manual",69492,"Petrol",20,61.4,1
"A5",2019,29485,"Automatic",10,"Petrol",145,40.4,2
"Octavia",2017,12498,"Semi-Auto",63641,"Diesel",125,60.1,2
"RAV4",2017,21480,"Automatic",39833,"Hybrid",20,55.4,2.5
"Q5",2019,32000,"Automatic",5638,"Diesel",145,38.2,2
"Astra",2010,2250,"Manual",111700,"Petrol",160,46.3,1.4
"Corsa",2019,9990,"Manual",100,"Petrol",145,43.5,1.4
"A1",2016,12991,"Manual",21686,"Petrol",30,55.4,1.4
"A1",2016,11298,"Manual",39021,"Petrol",30,55.4,1.4
"Adam",2018,9000,"Manual",25731,"Petrol",145,44.1,0
"Q8",2019,85900,"Semi-Auto",3401,"Diesel",150,30.7,4
"Mokka X",2017,12800,"Semi-Auto",15811,"Petrol",160,43.5,1.4
"A3",2019,17300,"Manual",1998,"Petrol",145,49.6,1.57628733195589
"Q5",2017,19690,"Manual",29887,"Diesel",205,54.2424237219911,2
"TT",2019,28000,"Semi-Auto",5799,"Petrol",150,34.9,2
"Astra",2017,9990,"Manual",20859,"Petrol",145,51.4,1.4
"Yaris",2017,9498,"Manual",44795,"Petrol",145,56.5,1.5
"A3",2017,17990,"Manual",20477,"Diesel",150,67.3,1.6
"Aygo",2014,5800,"Manual",39715,"Petrol",0,69,1
"Fabia",2018,7000,"Manual",9775,"Petrol",150,57.7,1
"Fabia",2018,7990,"Manual",15307,"Petrol",145,57.7,1
"Q3",2019,38995,"Automatic",4304,"Diesel",145,37.7,2
"Superb",2020,29874,"Semi-Auto",150,"Petrol",145,38.7,2
"Q5",2015,26276,"Automatic",46085,"Diesel",235,42.2,3
"Crossland X",2019,10999,"Manual",11756,"Petrol",145,46.3,1.2
"A4",2014,9495,"Manual",59595,"Diesel",30,65.7,2
"Astra",2016,8620,"Manual",31594,"Diesel",0,76.3,1.6
"Yaris",2017,8588,"Manual",29255,"Petrol",30,58,1.3
"Aygo",2016,6999,"Manual",21123,"Petrol",0,69,1
"Q3",2019,28490,"Manual",2688,"Diesel",145,42.8,2
"Astra",2017,9999,"Manual",58740,"Diesel",20,72.4,1.6
"A1",2014,9290,"Manual",42869,"Petrol",30,55.4,1.2
"A3",2016,13995,"Manual",40030,"Diesel",0,83.1,1.6
"Superb",2019,14680,"Automatic",38800,"Diesel",145,62.8,2
"Corsa",2017,7695,"Manual",10041,"Petrol",145,54.3,1.4
"Mokka X",2017,10695,"Manual",33237,"Petrol",145,42.2,1.6
"Astra",2017,11300,"Semi-Auto",11450,"Petrol",125,50.4,1.4
"Mokka X",2017,12120,"Manual",8000,"Petrol",145,47.1,1.4
"A3",2019,33990,"Automatic",6000,"Petrol",145,33.2,2
"Octavia",2018,13498,"Manual",6373,"Diesel",145,68.9,1.6
"Auris",2015,10995,"Manual",31500,"Petrol",125,52.3,1.2
"A3",2013,6995,"Manual",60000,"Diesel",20,68.9,1.6
"Octavia",2018,14995,"Automatic",2500,"Petrol",145,58.9,1
"RAV4",2016,13290,"Manual",38655,"Diesel",125,60.1,2
"Yaris",2019,12695,"Manual",3745,"Petrol",145,47.9,1.5
"Viva",2016,6500,"Manual",19880,"Petrol",20,62.8,1
"A4",2016,11295,"Automatic",119880,"Diesel",30,64.2,2
"Q2",2019,21500,"Manual",4050,"Diesel",145,49.6,1.6
"Yaris",2017,10395,"Manual",17049,"Petrol",145,58.9,1.5
"Q3",2019,31516,"Automatic",9589,"Petrol",145,32.1,2
"Q5",2014,21500,"Automatic",57924,"Diesel",260,41.5,3
"C-HR",2019,20485,"Automatic",9018,"Hybrid",140,74.3,1.8
"Supra",2019,49991,"Semi-Auto",1000,"Petrol",145,34.5,3
"Avensis",2017,15000,"Automatic",28000,"Petrol",145,47.1,1.8
"Crossland X",2019,15995,"Automatic",6438,"Petrol",145,42.2,1.2
"Aygo",2016,8672,"Semi-Auto",4079,"Petrol",0,67,1
"Q7",2019,45995,"Semi-Auto",17277,"Diesel",145,33.2,3
"Mokka X",2017,10998,"Manual",16248,"Petrol",145,47.1,1.4
"Q5",2015,14700,"Automatic",89483,"Diesel",205,47.1,2
"Yaris",2016,11295,"Automatic",34465,"Hybrid",0,78,1.5
"Superb",2019,32300,"Semi-Auto",5500,"Petrol",145,33.2,2
"Scala",2020,17990,"Manual",4500,"Petrol",145,50.4,1
"A1",2013,6575,"Manual",75000,"Diesel",0,74.3,1.6
"A3",2016,17988,"Semi-Auto",24406,"Petrol",125,48.7,2
"A3",2014,9795,"Manual",91395,"Diesel",20,68.9,2
"Yaris",2015,7495,"Manual",41629,"Petrol",30,55,1.3
"Superb",2017,18995,"Manual",1700,"Petrol",145,53.3,1.4
"Astra",2017,11990,"Automatic",20000,"Petrol",125,50.4,1.4
"Fabia",2015,5795,"Manual",24958,"Petrol",20,60.1,1
"A4",2016,13375,"Manual",33007,"Diesel",20,72.4,2
"Octavia",2018,13598,"Manual",13730,"Diesel",145,67.3,1.6
"Corsa",2018,8499,"Manual",15576,"Petrol",145,43.5,1.4
"Q5",2013,14750,"Manual",63153,"Diesel",200,47.9,2
"Combo Life",2019,14490,"Manual",5134,"Petrol",145,42.2,1.2
"A4",2019,25986,"Semi-Auto",10221,"Petrol",145,38.2,2
"Mokka X",2016,11700,"Automatic",37323,"Diesel",145,56.5,1.6
"Grandland X",2018,14499,"Manual",10541,"Diesel",145,70.6,1.6
"A8",2018,39500,"Automatic",1000,"Diesel",145,50.4,3
"Mokka X",2019,14399,"Manual",6758,"Petrol",145,39.2,1.4
"Yeti Outdoor",2017,10950,"Manual",58636,"Diesel",150,53.3,2
"Verso",2017,12998,"Semi-Auto",29476,"Petrol",205,42.8,1.8
"Corsa",2016,6900,"Manual",18417,"Petrol",30,55.4,1.4
"Fabia",2016,8495,"Manual",31518,"Petrol",20,60.1,1.2
"Astra",2016,8061,"Manual",49878,"Diesel",20,72.4,1.6
"Corsa",2016,7490,"Manual",31000,"Petrol",30,54.3,1.4
"Yaris",2019,12985,"Automatic",7106,"Hybrid",135,76.3,1.5
"Insignia",2018,13298,"Manual",20321,"Diesel",145,65.7,1.6
"Astra",2020,17949,"Manual",10,"Petrol",150,53.3,1.2
"A3",2016,13992,"Semi-Auto",56136,"Diesel",125,61.4,2
"Aygo",2018,7295,"Manual",23754,"Petrol",145,68.9,1
"A3",2015,15990,"Manual",43601,"Diesel",20,67.3,2
"Kodiaq",2017,15998,"Manual",72042,"Diesel",150,51.4,2
"A1",2019,22000,"Semi-Auto",5000,"Petrol",145,40.9,2
"Corsa",2018,8600,"Manual",9882,"Petrol",150,55.4,1.4
"Corsa",2017,7250,"Manual",55000,"Petrol",150,54.3,1.4
"Astra",2019,12995,"Manual",13801,"Petrol",145,51.4,1.4
"Mokka",2016,9898,"Manual",18556,"Petrol",160,44.8,1.4
"Mokka X",2018,11498,"Manual",11836,"Petrol",145,39.2,1.4
"A5",2020,30850,"Semi-Auto",4500,"Diesel",145,47.1,2
"Corsa",2017,8391,"Manual",19565,"Petrol",30,57.7,1
"A4",2020,35000,"Semi-Auto",3000,"Petrol",145,39.2,2
"Mokka X",2018,12240,"Automatic",23000,"Petrol",150,43.5,1.4
"Hilux",2015,20495,"Automatic",19962,"Diesel",260,32.8,3
"Fabia",2018,10795,"Manual",11216,"Petrol",150,64.2,1
"A3",2016,14500,"Manual",34728,"Petrol",30,57.6,1.4
"Crossland X",2019,13498,"Manual",3762,"Petrol",145,47.1,1.2
"Zafira",2016,8867,"Manual",32564,"Petrol",200,42.2,1.4
"Fabia",2019,12585,"Automatic",14575,"Petrol",145,60.1,1
"Q3",2019,25750,"Manual",5000,"Petrol",145,40.9,1.5
"A1",2014,9495,"Semi-Auto",48904,"Petrol",125,53.3,1.4
"Octavia",2016,7999,"Manual",86552,"Diesel",0,74.3,1.6
"Aygo",2014,5475,"Manual",31294,"Petrol",0,69,1
"Yaris",2017,13495,"Automatic",17848,"Hybrid",0,78,1.5
"Zafira",2017,13000,"Manual",5643,"Petrol",200,41.5,1.4
"Auris",2016,13899,"Automatic",17363,"Hybrid",0,78.5,1.8
"Corsa",2014,4795,"Manual",28000,"Petrol",30,55.4,1
"Corsa",2016,6598,"Manual",32871,"Petrol",30,55.4,1.4
"Octavia",2018,13995,"Semi-Auto",20931,"Petrol",150,57.7,1.5
"Corsa",2019,9995,"Automatic",3500,"Petrol",145,43.5,1.4
"Yaris",2018,11975,"Automatic",13692,"Petrol",150,60.1,1.5
"Astra",2018,12500,"Manual",10489,"Petrol",145,51.4,1.4
"Aygo",2014,5498,"Manual",36320,"Petrol",0,69,1
"Aygo",2010,3195,"Manual",54000,"Petrol",20,61.4,1
"A3",2019,22950,"Manual",6985,"Diesel",145,51.4,1.6
"Meriva",2016,7942,"Manual",14757,"Petrol",145,47.9,1.4
"Corolla",2019,22000,"Automatic",11478,"Hybrid",135,78.5,1.8
"A6",2016,22798,"Semi-Auto",14987,"Diesel",30,58.9,2
"Corsa",2017,6280,"Manual",50246,"Petrol",145,55.4,1.4
"Hilux",2016,15650,"Manual",20250,"Diesel",265,40.4,2.4
"Adam",2019,8799,"Manual",1054,"Petrol",145,44.8,1.2
"Corsa",2016,6490,"Manual",37872,"Petrol",30,54.3,1.4
"A3",2019,22990,"Semi-Auto",15202,"Petrol",145,41.5,1.5
"Octavia",2019,16491,"Automatic",6983,"Petrol",145,47.9,2
"Adam",2017,7749,"Manual",21882,"Petrol",125,53.3,1.2
"Auris",2015,10995,"Automatic",56000,"Hybrid",0,76.4,1.8
"Octavia",2019,20990,"Automatic",10,"Petrol",145,47.9,2
"A5",2016,23995,"Automatic",19151,"Petrol",260,35.8,3
"Grandland X",2018,13866,"Automatic",24431,"Diesel",145,65.7,1.6
"Q5",2019,36444,"Semi-Auto",5429,"Diesel",145,38.2,2
"Corsa",2016,8998,"Manual",11842,"Diesel",0,88.3,1.3
"A1",2016,9619,"Manual",58952,"Diesel",0,54.2424237219911,1.6
"A3",2019,20000,"Automatic",14337,"Petrol",145,42.2,1.5
"TT",2015,14998,"Manual",41319,"Diesel",20,67.3,2
"A3",2020,24880,"Automatic",2749,"Petrol",145,44.1,1.5
"Fabia",2018,7495,"Manual",6166,"Petrol",145,57.7,1
"Combo Life",2018,13499,"Manual",10875,"Diesel",145,53.3,1.5
"Insignia",2013,4495,"Manual",84000,"Diesel",125,58.9,2
"Yaris",2017,9495,"Manual",17356,"Petrol",30,58,1.3
"Corsa",2014,5899,"Manual",18078,"Petrol",125,51.4,1.2
"A3",2018,25489,"Semi-Auto",18478,"Petrol",145,43.5,2
"Q8",2019,51991,"Semi-Auto",9089,"Diesel",145,33.6,3
"Mokka X",2018,15995,"Semi-Auto",4093,"Petrol",145,37.2,1.4
"Astra",2017,10998,"Manual",20884,"Petrol",145,51.4,1.4
"Yaris",2014,10490,"Automatic",34528,"Hybrid",0,80.7,1.5
"Yaris",2013,5999,"Manual",50000,"Petrol",125,51.4,1.3
"Fabia",2016,9295,"Manual",15000,"Petrol",20,60.1,1.2
"Corolla",2019,17999,"Manual",3510,"Petrol",145,39.2,1.2
"Insignia",2018,14000,"Automatic",33681,"Diesel",145,54.3,1.6
"Q2",2018,18695,"Manual",12300,"Petrol",145,52.3,1.4
"Octavia",2017,13498,"Semi-Auto",5548,"Petrol",145,57.7,1.4
"Q5",2010,8685,"Automatic",96618,"Diesel",265,41.5,2
"Corsa",2015,6499,"Manual",46000,"Petrol",125,54.3,1.4
"Corsa",2018,8817,"Manual",1712,"Petrol",145,43.5,1.4
"Aygo",2018,8491,"Manual",8000,"Petrol",145,56.5,1
"Aygo",2017,8000,"Automatic",34684,"Other",0,67.3,1
"A3",2019,21491,"Manual",4552,"Diesel",145,51.4,1.6
"Octavia",2016,14000,"Semi-Auto",40135,"Diesel",125,60.1,2
"Q2",2019,22600,"Manual",4521,"Diesel",145,46.3,1.6
"Mokka X",2019,13990,"Manual",9491,"Petrol",145,39.2,1.4
"A4",2016,12700,"Manual",42166,"Diesel",20,72.4,2
"Viva",2016,5598,"Manual",13566,"Petrol",20,62.8,1
"Astra",2020,16890,"Manual",10,"Petrol",150,54.3,1.2
"A3",2017,13500,"Manual",20479,"Petrol",150,60.1,1
"C-HR",2019,24450,"Automatic",15872,"Hybrid",135,74.3,1.8
"Q3",2017,20040,"Semi-Auto",23166,"Petrol",145,47.9,1.4
"Grandland X",2018,14499,"Manual",11369,"Diesel",145,70.6,1.6
"Fabia",2019,11000,"Manual",4987,"Petrol",145,57.7,1
"Q3",2019,25990,"Manual",7500,"Diesel",145,42.8,2
"Octavia",2020,18985,"Semi-Auto",2987,"Petrol",145,44.8,1.5
"A3",2016,10099,"Manual",70070,"Diesel",0,74.3,1.6
"Astra",2018,9999,"Manual",14567,"Petrol",145,64.2,1
"A5",2015,15990,"Semi-Auto",37841,"Diesel",150,53.3,2
"Yaris",2017,12500,"Automatic",27022,"Hybrid",0,86,1.5
"A1",2019,22000,"Semi-Auto",4700,"Petrol",150,40.9,2
"Corsa",2019,10998,"Manual",8913,"Petrol",150,44.8,1.4
"Zafira Tourer",2014,6450,"Manual",59548,"Diesel",145,55.4,2
"A6",2019,42470,"Automatic",515,"Diesel",145,37.7,3
"Fabia",2017,10856,"Semi-Auto",11765,"Petrol",145,61.4,1
"A4",2020,43395,"Semi-Auto",8500,"Diesel",145,40.4,3
"Fabia",2019,11900,"Manual",4000,"Petrol",145,51.4,1
"A6",2019,46850,"Automatic",3008,"Diesel",145,37.7,3
"Yeti Outdoor",2016,10887,"Semi-Auto",38424,"Petrol",125,51.4,1.2
"Yaris",2016,9000,"Manual",23759,"Petrol",30,55,1.3
"Corsa",2015,7298,"Manual",33263,"Petrol",30,55.4,1.4
"C-HR",2018,23990,"Automatic",5810,"Hybrid",135,74.3,1.8
"Zafira Tourer",2017,12295,"Manual",21000,"Diesel",145,62.8,1.6
"Insignia",2018,12140,"Automatic",38039,"Diesel",145,55.4,1.6
"Corsa",2019,7987,"Manual",8731,"Petrol",145,43.5,1.4
"Astra",2017,10991,"Manual",21572,"Petrol",145,51.4,1.4
"A1",2020,21000,"Manual",5000,"Petrol",145,47.9,1
"Superb",2017,14795,"Manual",39448,"Diesel",145,61.4,2
"A3",2019,23990,"Semi-Auto",9476,"Petrol",145,41.5,1.5
"Corsa",2016,9750,"Automatic",4562,"Petrol",145,47.9,1.4
"A3",2020,32495,"Semi-Auto",7500,"Hybrid",135,141.3,1.4
"Insignia",2016,8725,"Manual",48165,"Diesel",20,68.9,1.6
"A4",2013,12880,"Automatic",43000,"Diesel",150,49.6,3
"Astra",2017,9499,"Manual",18501,"Petrol",20,62.8,1
"A6",2016,14990,"Semi-Auto",76968,"Diesel",30,61.4,2
"Q5",2020,37000,"Automatic",1436,"Petrol",145,32.1,2
"RAV4",2017,21322,"Automatic",19849,"Hybrid",20,57.6,2.5
"A3",2018,15590,"Manual",19686,"Diesel",145,68.9,1.6
"Aygo",2017,6900,"Manual",17186,"Petrol",0,68.9,1
"A3",2019,20250,"Semi-Auto",5789,"Diesel",145,52.3,1.6
"Corsa",2016,6195,"Manual",41958,"Petrol",30,55.4,1.4
"Mokka",2015,8798,"Manual",32634,"Petrol",160,44.8,1.4
"Insignia",2018,14998,"Manual",24950,"Diesel",150,53.3,2
"Fabia",2017,9250,"Manual",14940,"Petrol",20,60.1,1.2
"A6",2016,12000,"Automatic",71311,"Diesel",30,61.4,2
"C-HR",2019,17995,"Manual",5905,"Petrol",145,41.5,1.2
"A6",2019,45485,"Automatic",3241,"Diesel",145,39.2,3
"Aygo",2016,6998,"Manual",12170,"Petrol",0,69,1
"Corsa",2017,7490,"Manual",19642,"Petrol",30,55.4,1.4
"Corsa",2016,7250,"Manual",22820,"Petrol",30,55.4,1.4
"Fabia",2019,14990,"Semi-Auto",1536,"Petrol",145,60.1,1
"Insignia",2019,16498,"Manual",21736,"Diesel",150,49.6,2
"Viva",2017,6995,"Manual",37500,"Petrol",145,61.4,1
"Q2",2019,27900,"Manual",7392,"Petrol",145,39.2,1.5
"Antara",2012,7495,"Manual",49000,"Diesel",235,44.8,2.2
"Mokka",2016,9799,"Manual",7326,"Petrol",200,40.9,1.6
"Insignia",2018,14995,"Manual",41054,"Diesel",145,53.3,2
"A5",2019,26990,"Automatic",9000,"Petrol",145,39.8,2
"A4",2019,24491,"Automatic",2500,"Petrol",145,39.2,2
"Astra",2016,8300,"Manual",19868,"Petrol",125,51.4,1.4
"Viva",2019,8490,"Manual",3000,"Petrol",145,46.3,1
"Astra",2019,14995,"Automatic",8675,"Petrol",150,51.4,1.4
"Yeti",2016,11080,"Semi-Auto",46367,"Petrol",125,51.4,1.2
"Auris",2015,13200,"Automatic",25461,"Hybrid",0,72.4,1.8
"Mokka X",2019,14985,"Manual",10765,"Petrol",145,39.2,1.4
"Crossland X",2020,15990,"Automatic",10,"Petrol",145,44.1,1.2
"A5",2017,20995,"Manual",12313,"Diesel",30,64.2,2
"Astra",2020,14990,"Manual",100,"Petrol",145,54.3,1.2
"Corsa",2017,7999,"Manual",24214,"Petrol",150,55.4,1.4
"Q2",2020,24950,"Semi-Auto",789,"Diesel",145,47.9,1.6
"Yaris",2019,11310,"Manual",5400,"Petrol",145,47.9,1.5
"Q5",2019,29996,"Semi-Auto",3540,"Diesel",145,39.2,2
"Astra",2011,3399,"Manual",58000,"Petrol",160,45.6,1.6
"A4",2019,24199,"Automatic",4035,"Diesel",145,50.4,2
"Fabia",2017,10945,"Semi-Auto",16810,"Petrol",20,60.1,1.2
"A6",2019,31900,"Semi-Auto",5313,"Diesel",145,54.2424237219911,2
"Combo Life",2019,14244,"Manual",2721,"Petrol",145,42.2,1.2
"Adam",2015,7900,"Manual",10716,"Petrol",125,52.3,1.4
"A4",2019,23500,"Manual",4514,"Petrol",145,38.2,2
"Insignia",2016,6710,"Manual",67564,"Diesel",0,74.3,1.6
"Corolla",2019,21491,"Automatic",3993,"Hybrid",135,85.6,1.8
"A6",2015,14599,"Automatic",81707,"Diesel",30,64.2,2
"A3",2019,23450,"Manual",4705,"Diesel",145,51.4,1.6
"Scala",2019,14995,"Manual",6500,"Petrol",145,49.6,1
"Zafira",2017,11475,"Manual",24346,"Petrol",145,41.5,1.4
"Q2",2018,19000,"Manual",10722,"Diesel",145,61.4,1.6
"A6",2003,2495,"Automatic",117000,"Diesel",290,39.8,2.5
"Astra",2017,9995,"Manual",8500,"Petrol",145,51.4,1.4
"A3",2017,17498,"Manual",20359,"Petrol",30,60.1,1.4
"Octavia",2018,17499,"Manual",17941,"Diesel",145,62.8,2
"Yaris",2017,10890,"Manual",6294,"Petrol",145,56.5,1.5
"A3",2018,20688,"Semi-Auto",9135,"Petrol",145,56.5,1.5
"Astra",2007,995,"Manual",143695,"Petrol",200,42.8,1.6
"Fabia",2019,12295,"Automatic",14634,"Petrol",150,60.1,1
"GTC",2014,7298,"Manual",51099,"Diesel",125,60.1,2
"Zafira",2017,10798,"Manual",29133,"Petrol",145,41.5,1.4
"Crossland X",2019,12120,"Manual",14662,"Petrol",145,44.8,1.2
"Yaris",2017,11451,"Automatic",13216,"Petrol",145,60.1,1.5
"Q5",2019,36991,"Automatic",10,"Diesel",145,38.2,2
"Yaris",2018,9789,"Manual",17217,"Petrol",145,58.9,1.5
"Auris",2016,14999,"Automatic",13821,"Hybrid",0,78.5,1.8
"A8",2019,42950,"Semi-Auto",500,"Diesel",145,40.4,3
"Q3",2018,18981,"Manual",18280,"Petrol",145,51.4,1.4
"Corsa",2017,7950,"Manual",14295,"Petrol",145,55.4,1.4
"Astra",2020,15890,"Manual",1550,"Petrol",145,54.3,1.2
"Mokka",2017,13000,"Manual",11922,"Petrol",145,47.1,1.4
"Corsa",2015,4990,"Manual",44000,"Petrol",125,52.3,1.2
"Viva",2019,6695,"Manual",4187,"Petrol",150,46.3,1
"S3",2016,19300,"Semi-Auto",34500,"Petrol",200,40.9,2
"Fabia",2018,11530,"Manual",8552,"Petrol",145,60.1,1
"Q7",2019,66990,"Automatic",6000,"Diesel",145,33.2,3
"Mokka X",2017,11332,"Manual",8675,"Petrol",200,42.2,1.6
"Mokka X",2017,11495,"Manual",9300,"Diesel",145,42.2,1.6
"Octavia",2017,11495,"Manual",21700,"Diesel",145,67.3,1.6
"Corsa",2016,7995,"Manual",25968,"Petrol",30,54.3,1.4
"A3",2019,18750,"Manual",2752,"Petrol",145,44.8,1.5
"A4",2019,26900,"Automatic",5000,"Diesel",145,44.8,2
